Accession,Description,_Coverage,_# Proteins,_# Unique Peptides,_# Peptides,_# PSMs,128_C/127_N,128_C/127_N Count,128_C/127_N Variability [%],128_N/126,128_N/126 Count,128_N/126 Variability [%],129_N/127_C,129_N/127_C Count,129_N/127_C Variability [%],"Score A(4,11)","Coverage A(4,11)","# Peptides A(4,11)","# PSM A(4,11)","Score A(7,9,12,14)","Coverage A(7,9,12,14)","# Peptides A(7,9,12,14)","# PSM A(7,9,12,14)","Score B(3,6,11,13,17,18)","Coverage B(3,6,11,13,17,18)","# Peptides B(3,6,11,13,17,18)","# PSM B(3,6,11,13,17,18)","Score B(8,10,15)","Coverage B(8,10,15)","# Peptides B(8,10,15)","# PSM B(8,10,15)",# AAs,MW [kDa],calc. pI
O95479,GDH/6PGL endoplasmic bifunctional protein OS=Homo sapiens GN=H6PD PE=1 SV=2 - [G6PE_HUMAN],30.85,1,17,17,36,3.019,1;17,51.7,2.551,1;17,40.3,2.636,1;17,45.5,39.54 ,1.26,1,1,4.46 ,1.26,2,2,47.20 ,29.84,16,16,239.77 ,30.85,17,17,791,88.8,7.30
Q92556,Engulfment and cell motility protein 1 OS=Homo sapiens GN=ELMO1 PE=1 SV=2 - [ELMO1_HUMAN],3.44,1,1,3,8,2.993,-;1,,2.885,-;1,,3.107,-;1,,,,,,,,,,13.03 ,3.44,3,5,31.05 ,2.06,2,3,727,83.8,6.28
Q4VC05,B-cell CLL/lymphoma 7 protein family member A OS=Homo sapiens GN=BCL7A PE=1 SV=1 - [BCL7A_HUMAN],17.62,1,1,2,3,2.975,-;1,,0.344,-;1,,0.397,-;1,,,,,,,,,,4.58 ,17.62,2,2,34.61 ,4.76,1,1,210,22.8,5.14
P35638,DNA damage-inducible transcript 3 protein OS=Homo sapiens GN=DDIT3 PE=1 SV=1 - [DDIT3_HUMAN],6.51,1,1,1,2,2.950,-;1,,2.280,-;1,,2.802,-;1,,,,,,,,,,4.11 ,6.51,1,1,0.00 ,6.51,1,1,169,19.2,4.61
P32929,Cystathionine gamma-lyase OS=Homo sapiens GN=CTH PE=1 SV=3 - [CGL_HUMAN],47.90,1,15,15,92,2.929,6;29,42.8,2.982,6;30,50.4,2.715,6;27,48.4,358.84 ,21.73,10,12,66.82 ,23.95,15,18,88.37 ,47.90,20,33,531.05 ,47.90,16,29,405,44.5,6.70
Q14315,Filamin-C OS=Homo sapiens GN=FLNC PE=1 SV=3 - [FLNC_HUMAN],21.76,1,27,47,283,2.923,1;31,17.5,2.277,-;31,,2.143,2;30,1.6,249.35 ,4.26,19,29,92.69 ,4.77,19,27,259.33 ,19.67,44,118,1134.29 ,20.22,44,109,2725,290.8,5.97
Q02386,Zinc finger protein 45 OS=Homo sapiens GN=ZNF45 PE=2 SV=2 - [ZNF45_HUMAN],6.74,24,1,2,4,2.914,-;1,,1.794,-;1,,0.918,-;1,,,,,,,,,,3.05 ,6.74,3,4,,,,,682,78.2,8.66
P07196,Neurofilament light polypeptide OS=Homo sapiens GN=NEFL PE=1 SV=3 - [NFL_HUMAN],15.84,1,5,6,33,2.912,-;5,,2.399,-;5,,2.291,-;5,,132.88 ,1.66,2,6,23.55 ,1.66,2,6,31.44 ,15.84,6,12,189.93 ,15.84,6,9,543,61.5,4.65
O15041,Semaphorin-3E OS=Homo sapiens GN=SEMA3E PE=1 SV=1 - [SEM3E_HUMAN],3.35,1,2,2,3,2.888,-;2,,1.183,-;2,,1.618,-;2,,,,,,,,,,7.05 ,3.35,2,2,47.18 ,2.06,1,1,775,89.2,7.47
A6NLU0,Ret finger protein-like 4A OS=Homo sapiens GN=RFPL4A PE=1 SV=3 - [RFPLA_HUMAN],6.62,2,2,2,6,2.887,-;3,,3.147,-;3,,2.635,-;3,,,,,,,,,,7.87 ,6.62,2,3,0.00 ,6.62,2,3,287,32.2,7.69
Q5T036,Putative FAM120A opposite strand protein OS=Homo sapiens GN=FAM120AOS PE=5 SV=1 - [F120S_HUMAN],8.20,1,1,1,3,2.867,-;1,,3.046,-;1,,1.842,-;1,,,,,,,,,,,,,,21.06 ,8.20,1,3,256,27.9,11.93
P37231,Peroxisome proliferator-activated receptor gamma OS=Homo sapiens GN=PPARG PE=1 SV=3 - [PPARG_HUMAN],3.96,1,1,1,6,2.867,-;2,,1.109,-;2,,1.442,-;2,,,,,,,,,,2.38 ,3.96,1,3,53.67 ,3.96,1,3,505,57.6,5.94
Q8IWE2,Protein NOXP20 OS=Homo sapiens GN=FAM114A1 PE=1 SV=2 - [NXP20_HUMAN],33.57,1,15,15,58,2.854,2;24,43.5,2.086,2;24,11.9,2.006,2;24,2.5,75.38 ,8.17,3,4,15.82 ,8.17,5,5,51.67 ,33.57,17,24,379.33 ,33.57,15,25,563,60.7,4.68
Q13228,Selenium-binding protein 1 OS=Homo sapiens GN=SELENBP1 PE=1 SV=2 - [SBP1_HUMAN],32.42,1,12,12,30,2.845,1;13,69.0,2.093,1;13,48.6,2.259,1;13,63.3,77.42 ,3.81,1,1,5.68 ,3.81,1,1,32.31 ,30.30,11,14,186.12 ,30.08,11,14,472,52.4,6.37
Q9UQN3,Charged multivesicular body protein 2b OS=Homo sapiens GN=CHMP2B PE=1 SV=1 - [CHM2B_HUMAN],21.13,1,6,6,17,2.844,2;4,15.7,2.733,2;4,3.4,2.769,2;4,7.3,34.28 ,7.51,4,4,12.19 ,7.51,4,4,14.97 ,16.90,4,5,133.95 ,9.39,2,4,213,23.9,8.76
P0CW27,Coiled-coil domain-containing protein 166 OS=Homo sapiens GN=CCDC166 PE=4 SV=1 - [CC166_HUMAN],2.05,1,1,1,1,2.842,-;1,,0.590,-;1,,,,,,,,,,,,,0.00 ,2.05,1,1,,,,,439,48.7,10.59
P23378,"Glycine dehydrogenase (decarboxylating), mitochondrial OS=Homo sapiens GN=GLDC PE=1 SV=2 - [GCSP_HUMAN]",7.25,1,5,5,9,2.842,-;4,,2.601,-;4,,2.643,-;4,,,,,,,,,,13.46 ,7.25,5,5,122.60 ,5.78,4,4,1020,112.7,7.11
Q13740,CD166 antigen OS=Homo sapiens GN=ALCAM PE=1 SV=2 - [CD166_HUMAN],52.32,1,25,25,142,2.840,9;54,16.0,2.934,7;54,22.2,3.061,9;54,21.8,441.43 ,23.84,11,15,66.29 ,25.04,14,18,177.60 ,51.11,26,56,982.46 ,49.40,25,53,583,65.1,6.25
O95833,Chloride intracellular channel protein 3 OS=Homo sapiens GN=CLIC3 PE=1 SV=2 - [CLIC3_HUMAN],5.08,1,1,1,2,2.838,-;1,,1.540,-;1,,1.589,-;1,,,,,,,,,,2.81 ,5.08,1,1,43.24 ,5.08,1,1,236,26.6,6.43
Q8IVM0,Coiled-coil domain-containing protein 50 OS=Homo sapiens GN=CCDC50 PE=1 SV=1 - [CCD50_HUMAN],42.81,1,10,10,47,2.826,1;19,29.1,2.625,1;19,14.9,2.912,1;19,24.6,66.18 ,8.17,3,3,13.82 ,8.17,3,3,61.58 ,40.52,11,24,238.02 ,37.58,8,17,306,35.8,6.65
P0C870,JmjC domain-containing protein 7 OS=Homo sapiens GN=JMJD7 PE=2 SV=1 - [JMJD7_HUMAN],6.96,1,1,1,1,2.816,-;1,,0.353,-;1,,0.440,-;1,,,,,,,,,,0.00 ,6.96,1,1,,,,,316,35.9,5.38
O00421,C-C chemokine receptor-like 2 OS=Homo sapiens GN=CCRL2 PE=1 SV=2 - [CCRL2_HUMAN],4.65,1,2,2,3,2.793,-;1,,2.944,-;1,,3.535,-;1,,,,,,,,,,5.17 ,4.65,2,2,29.58 ,2.03,1,1,344,39.5,7.77
A6NGR9,Maestro heat-like repeat-containing protein family member 6 OS=Homo sapiens GN=MROH6 PE=2 SV=2 - [MROH6_HUMAN],3.76,1,1,1,1,2.789,-;1,,4.211,-;1,,4.054,-;1,,,,,,,,,,0.00 ,3.76,1,1,,,,,719,77.1,9.79
Q9H2B4,Sulfate anion transporter 1 OS=Homo sapiens GN=SLC26A1 PE=2 SV=2 - [S26A1_HUMAN],4.14,1,1,1,2,2.788,-;1,,0.986,-;1,,1.137,-;1,,,,,,,,,,0.00 ,4.14,1,1,22.85 ,4.14,1,1,701,75.0,8.10
Q6P597,Kinesin light chain 3 OS=Homo sapiens GN=KLC3 PE=1 SV=2 - [KLC3_HUMAN],52.98,1,16,19,60,2.785,-;26,,2.683,-;26,,2.601,-;26,,,,,,,,,,102.41 ,50.40,18,30,507.77 ,52.98,19,30,504,55.3,6.49
P18847,Cyclic AMP-dependent transcription factor ATF-3 OS=Homo sapiens GN=ATF3 PE=1 SV=2 - [ATF3_HUMAN],23.20,1,4,4,10,2.785,-;5,,2.722,-;5,,2.946,-;5,,,,,,,,,,16.88 ,23.20,4,5,79.77 ,23.20,4,5,181,20.6,8.54
O75157,TSC22 domain family protein 2 OS=Homo sapiens GN=TSC22D2 PE=1 SV=3 - [T22D2_HUMAN],17.69,1,7,10,45,2.777,2;11,27.0,2.827,2;11,41.8,2.448,2;11,33.0,68.05 ,3.08,4,4,14.89 ,3.08,4,4,31.21 ,16.15,8,12,212.08 ,14.74,7,25,780,79.2,5.02
Q15555,Microtubule-associated protein RP/EB family member 2 OS=Homo sapiens GN=MAPRE2 PE=1 SV=1 - [MARE2_HUMAN],43.43,1,8,10,39,2.771,1;12,42.9,2.234,1;12,8.9,2.364,1;12,35.2,43.64 ,6.12,1,1,7.62 ,6.12,2,2,56.17 ,43.43,10,18,154.19 ,43.43,10,18,327,37.0,5.57
Q14160,Protein scribble homolog OS=Homo sapiens GN=SCRIB PE=1 SV=4 - [SCRIB_HUMAN],39.14,1,39,41,124,2.766,2;48,5.6,2.269,2;47,13.5,2.258,2;47,2.0,237.30 ,8.83,9,9,34.08 ,8.47,10,11,147.62 ,36.93,39,51,960.97 ,38.22,41,53,1630,174.8,5.07
P25116,Proteinase-activated receptor 1 OS=Homo sapiens GN=F2R PE=1 SV=2 - [PAR1_HUMAN],17.88,1,6,6,31,2.757,2;11,25.4,2.866,2;11,41.4,2.787,2;11,31.2,98.39 ,7.76,2,2,10.70 ,7.76,3,3,37.95 ,17.88,6,16,174.32 ,12.24,5,10,425,47.4,8.27
Q9H0W9,Ester hydrolase C11orf54 OS=Homo sapiens GN=C11orf54 PE=1 SV=1 - [CK054_HUMAN],31.11,1,5,5,13,2.752,1;5,47.3,2.599,1;5,31.6,1.439,-;5,,100.09 ,5.71,1,1,5.98 ,5.71,1,1,11.48 ,31.11,5,6,151.85 ,21.59,4,5,315,35.1,6.70
Q9BYW1,"Solute carrier family 2, facilitated glucose transporter member 11 OS=Homo sapiens GN=SLC2A11 PE=2 SV=1 - [GTR11_HUMAN]",5.44,1,1,1,1,2.750,-;1,,1.002,-;1,,,,,,,,,,,,,0.00 ,5.44,1,1,,,,,496,53.7,8.18
Q86W26,"NACHT, LRR and PYD domains-containing protein 10 OS=Homo sapiens GN=NLRP10 PE=1 SV=1 - [NAL10_HUMAN]",5.50,1,3,3,5,2.746,-;3,,2.263,-;3,,2.394,-;3,,,,,,,,,,7.63 ,5.50,3,3,38.88 ,4.12,2,2,655,75.0,7.20
Q16799,Reticulon-1 OS=Homo sapiens GN=RTN1 PE=1 SV=1 - [RTN1_HUMAN],5.54,1,2,4,8,2.746,-;2,,2.762,-;2,,3.151,-;2,,,,,,,,,,9.14 ,4.51,3,4,64.38 ,4.12,3,4,776,83.6,4.69
P78383,Solute carrier family 35 member B1 OS=Homo sapiens GN=SLC35B1 PE=1 SV=1 - [S35B1_HUMAN],10.56,1,1,1,2,2.731,-;1,,1.324,-;1,,1.249,-;1,,,,,,,,,,0.00 ,10.56,1,1,29.32 ,10.56,1,1,322,35.7,9.26
Q96MN2,"NACHT, LRR and PYD domains-containing protein 4 OS=Homo sapiens GN=NLRP4 PE=1 SV=3 - [NALP4_HUMAN]",1.81,1,1,1,2,2.728,-;1,,3.251,-;1,,2.427,-;1,,,,,,,,,,1.97 ,1.81,1,1,0.00 ,1.81,1,1,994,113.3,5.80
P17861,X-box-binding protein 1 OS=Homo sapiens GN=XBP1 PE=2 SV=2 - [XBP1_HUMAN],3.45,1,1,1,2,2.717,-;1,,0.620,-;1,,0.637,-;1,,,,,,,,,,2.09 ,3.45,1,1,18.39 ,3.45,1,1,261,28.7,9.67
Q86V88,Magnesium-dependent phosphatase 1 OS=Homo sapiens GN=MDP1 PE=1 SV=1 - [MGDP1_HUMAN],30.11,1,3,3,6,2.707,-;3,,3.046,-;3,,2.379,-;3,,,,,,,,,,8.78 ,30.11,3,3,110.59 ,30.11,3,3,176,20.1,6.39
Q0VD86,Protein INCA1 OS=Homo sapiens GN=INCA1 PE=1 SV=1 - [INCA1_HUMAN],3.39,1,1,1,1,2.699,-;1,,0.425,-;1,,0.383,-;1,,,,,,,,,,2.13 ,3.39,1,1,,,,,236,26.8,7.34
P01023,Alpha-2-macroglobulin OS=Homo sapiens GN=A2M PE=1 SV=3 - [A2MG_HUMAN],27.07,1,24,27,63,2.685,1;27,50.2,2.856,1;28,30.8,2.570,1;28,52.7,0.00 ,0.47,1,1,3.26 ,0.47,1,1,75.19 ,25.85,27,34,349.67 ,20.69,21,27,1474,163.2,6.46
Q9UDT6,CAP-Gly domain-containing linker protein 2 OS=Homo sapiens GN=CLIP2 PE=1 SV=1 - [CLIP2_HUMAN],38.81,1,23,30,81,2.681,1;32,67.9,1.535,1;32,25.4,1.345,1;32,2.1,98.97 ,2.58,2,2,14.31 ,2.58,3,3,99.51 ,34.42,26,38,532.44 ,30.88,25,38,1046,115.8,6.73
O94832,Unconventional myosin-Id OS=Homo sapiens GN=MYO1D PE=1 SV=2 - [MYO1D_HUMAN],34.99,1,30,33,77,2.680,2;33,36.9,2.214,2;33,17.2,2.399,2;33,29.3,106.83 ,4.87,4,4,18.48 ,4.87,5,5,94.22 ,34.99,32,37,440.32 ,32.60,28,31,1006,116.1,9.39
Q9P1U1,Actin-related protein 3B OS=Homo sapiens GN=ACTR3B PE=2 SV=1 - [ARP3B_HUMAN],13.16,2,1,5,53,2.675,-;1,,1.741,-;1,,2.245,-;1,,233.82 ,7.66,6,10,37.51 ,7.66,6,11,33.56 ,11.00,4,15,364.66 ,13.16,5,17,418,47.6,5.88
O14863,Zinc transporter 4 OS=Homo sapiens GN=SLC30A4 PE=2 SV=2 - [ZNT4_HUMAN],4.43,1,1,1,2,2.673,-;1,,3.092,-;1,,2.535,-;1,,,,,,,,,,2.14 ,4.43,1,1,45.32 ,4.43,1,1,429,47.5,6.58
Q15057,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 OS=Homo sapiens GN=ACAP2 PE=1 SV=3 - [ACAP2_HUMAN]",34.19,1,19,19,48,2.667,1;21,48.8,1.695,1;21,40.9,1.560,1;21,21.9,111.81 ,4.50,2,2,16.40 ,8.48,4,4,66.52 ,34.19,21,23,398.13 ,27.38,16,19,778,88.0,6.80
Q9BX67,Junctional adhesion molecule C OS=Homo sapiens GN=JAM3 PE=1 SV=1 - [JAM3_HUMAN],10.97,1,4,4,9,2.663,-;5,,3.613,-;5,,3.588,-;5,,,,,,,,,,13.47 ,10.97,5,6,61.70 ,8.71,3,3,310,35.0,7.59
Q8NF67,Putative uncharacterized protein FLJ00310 OS=Homo sapiens PE=5 SV=3 - [YA023_HUMAN],10.65,1,3,3,7,2.653,-;2,,2.303,-;2,,2.332,-;2,,35.58 ,3.80,1,1,3.50 ,3.80,1,1,8.91 ,8.37,2,3,51.25 ,6.08,2,2,263,31.2,5.27
P35556,Fibrillin-2 OS=Homo sapiens GN=FBN2 PE=1 SV=3 - [FBN2_HUMAN],5.25,1,9,9,14,2.650,-;8,,1.840,-;8,,2.011,-;8,,,,,,0.00 ,1.41,1,1,10.27 ,3.57,7,7,49.81 ,2.37,6,6,2912,314.6,4.86
A8MVS5,Protein HIDE1 OS=Homo sapiens GN=HIDE1 PE=2 SV=2 - [HIDE1_HUMAN],13.48,1,2,2,3,2.647,-;1,,2.635,-;1,,2.153,-;1,,,,,,,,,,6.06 ,13.48,2,2,0.00 ,5.22,1,1,230,24.7,7.30
O95671,N-acetylserotonin O-methyltransferase-like protein OS=Homo sapiens GN=ASMTL PE=1 SV=3 - [ASML_HUMAN],11.92,1,6,6,11,2.647,-;6,,2.681,-;6,,2.297,-;6,,,,,,,,,,14.57 ,11.92,6,6,76.85 ,8.53,5,5,621,68.8,6.07
P29350,Tyrosine-protein phosphatase non-receptor type 6 OS=Homo sapiens GN=PTPN6 PE=1 SV=1 - [PTN6_HUMAN],28.07,1,12,14,39,2.645,-;17,,2.723,-;17,,2.650,-;17,,,,,,,,,,51.06 ,24.87,13,19,248.30 ,28.07,14,20,595,67.5,7.78
Q96JQ2,Calmin OS=Homo sapiens GN=CLMN PE=1 SV=1 - [CLMN_HUMAN],29.94,1,21,21,52,2.641,1;25,34.7,2.003,-;25,,2.460,1;25,27.0,93.37 ,4.49,2,2,7.27 ,4.49,2,2,72.64 ,27.84,20,26,237.66 ,24.75,17,22,1002,111.6,4.94
P36551,"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial OS=Homo sapiens GN=CPOX PE=1 SV=3 - [HEM6_HUMAN]",35.24,1,15,15,110,2.638,10;36,40.2,2.547,10;36,40.6,2.462,10;36,31.0,243.05 ,18.94,15,18,72.31 ,18.94,15,19,98.08 ,35.24,16,37,491.77 ,35.24,16,36,454,50.1,8.25
Q05682,Caldesmon OS=Homo sapiens GN=CALD1 PE=1 SV=3 - [CALD1_HUMAN],38.71,1,35,35,206,2.636,15;76,20.7,2.628,15;76,11.4,2.639,15;75,9.8,303.37 ,13.75,18,25,102.43 ,12.99,18,28,184.66 ,37.83,46,88,646.48 ,33.80,32,65,793,93.2,5.66
Q9C091,GREB1-like protein OS=Homo sapiens GN=GREB1L PE=2 SV=2 - [GRB1L_HUMAN],1.35,1,3,3,6,2.634,-;3,,1.927,-;3,,1.909,-;3,,,,,,,,,,7.56 ,1.35,3,3,59.06 ,1.35,3,3,1923,214.2,6.62
O75363,Breast carcinoma-amplified sequence 1 OS=Homo sapiens GN=BCAS1 PE=1 SV=2 - [BCAS1_HUMAN],2.23,1,1,1,2,2.621,-;1,,2.003,-;1,,1.770,-;1,,,,,,,,,,1.64 ,2.23,1,1,36.97 ,2.23,1,1,584,61.7,5.10
Q96PB1,CAS1 domain-containing protein 1 OS=Homo sapiens GN=CASD1 PE=2 SV=1 - [CASD1_HUMAN],2.63,1,1,1,1,2.594,-;1,,1.308,-;1,,1.061,-;1,,,,,,,,,,1.82 ,2.63,1,1,,,,,797,91.6,8.82
P09923,Intestinal-type alkaline phosphatase OS=Homo sapiens GN=ALPI PE=1 SV=2 - [PPBI_HUMAN],17.99,1,1,7,44,2.590,-;1,,2.508,-;1,,2.398,-;1,,153.28 ,8.33,5,5,17.86 ,8.33,5,5,26.26 ,16.29,7,16,372.44 ,16.29,7,18,528,56.8,5.86
Q6IQ23,Pleckstrin homology domain-containing family A member 7 OS=Homo sapiens GN=PLEKHA7 PE=1 SV=2 - [PKHA7_HUMAN],28.46,1,24,24,75,2.585,-;30,,2.243,-;30,,2.438,-;30,,124.86 ,4.46,3,3,15.42 ,4.46,3,3,88.76 ,28.46,26,36,631.20 ,28.46,25,33,1121,127.1,9.35
Q9UBL6,Copine-7 OS=Homo sapiens GN=CPNE7 PE=2 SV=1 - [CPNE7_HUMAN],21.33,3,9,10,21,2.581,-;9,,2.033,-;9,,2.459,-;9,,,,,,,,,,33.95 ,21.33,12,13,155.85 ,15.01,7,8,633,70.2,6.38
P32320,Cytidine deaminase OS=Homo sapiens GN=CDA PE=1 SV=2 - [CDD_HUMAN],71.92,1,6,6,49,2.579,3;17,47.7,2.911,3;17,47.9,2.823,3;17,53.4,110.63 ,18.49,3,5,21.83 ,18.49,4,6,45.32 ,71.92,6,25,90.57 ,71.92,5,13,146,16.2,6.92
Q6ZSS7,Major facilitator superfamily domain-containing protein 6 OS=Homo sapiens GN=MFSD6 PE=1 SV=2 - [MFSD6_HUMAN],1.77,1,1,1,2,2.566,-;1,,1.995,-;1,,3.455,-;1,,,,,,,,,,2.66 ,1.77,1,1,43.71 ,1.77,1,1,791,88.0,5.53
O15554,Intermediate conductance calcium-activated potassium channel protein 4 OS=Homo sapiens GN=KCNN4 PE=1 SV=1 - [KCNN4_HUMAN],3.75,2,1,2,4,2.564,-;1,,2.187,-;1,,2.513,-;1,,,,,,2.24 ,1.41,1,1,2.52 ,2.34,1,1,50.01 ,3.75,2,2,427,47.7,9.83
O75351,Vacuolar protein sorting-associated protein 4B OS=Homo sapiens GN=VPS4B PE=1 SV=2 - [VPS4B_HUMAN],59.46,1,15,19,83,2.559,8;20,18.9,2.291,8;20,15.1,2.529,9;20,18.0,244.54 ,22.75,11,15,66.27 ,22.75,13,18,64.83 ,56.08,21,27,328.87 ,57.66,19,23,444,49.3,7.23
O94760,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 OS=Homo sapiens GN=DDAH1 PE=1 SV=3 - [DDAH1_HUMAN]",72.98,1,16,17,99,2.537,6;38,29.9,2.576,6;38,41.5,2.514,6;38,18.1,213.51 ,23.16,8,10,39.70 ,23.16,9,11,122.22 ,67.72,18,41,742.75 ,67.72,18,37,285,31.1,5.81
P17342,Atrial natriuretic peptide receptor 3 OS=Homo sapiens GN=NPR3 PE=1 SV=2 - [ANPRC_HUMAN],4.07,1,2,2,3,2.536,-;1,,1.799,-;1,,1.347,-;1,,,,,,,,,,5.24 ,4.07,2,2,38.52 ,2.40,1,1,541,59.8,6.35
Q99715,Collagen alpha-1(XII) chain OS=Homo sapiens GN=COL12A1 PE=1 SV=2 - [COCA1_HUMAN],1.24,1,3,3,6,2.528,-;3,,2.529,-;3,,2.328,-;3,,,,,,,,,,9.55 ,1.24,3,3,73.26 ,1.24,3,3,3063,332.9,5.53
Q9HD26,Golgi-associated PDZ and coiled-coil motif-containing protein OS=Homo sapiens GN=GOPC PE=1 SV=1 - [GOPC_HUMAN],66.45,1,28,28,117,2.524,11;37,18.0,2.718,11;37,16.8,2.552,11;38,20.9,297.09 ,30.52,15,16,74.07 ,32.90,20,22,109.13 ,60.82,26,40,525.53 ,56.06,22,39,462,50.5,5.92
P63096,Guanine nucleotide-binding protein G(i) subunit alpha-1 OS=Homo sapiens GN=GNAI1 PE=1 SV=2 - [GNAI1_HUMAN],46.89,3,4,15,108,2.517,1;6,6.8,2.539,1;6,8.1,2.550,1;6,13.0,56.53 ,10.17,8,10,26.64 ,8.47,6,8,115.89 ,46.89,16,45,833.08 ,46.89,15,45,354,40.3,5.97
P51884,Lumican OS=Homo sapiens GN=LUM PE=1 SV=2 - [LUM_HUMAN],16.86,1,4,4,12,2.511,-;4,,2.593,-;4,,2.355,-;4,,,,,,,,,,10.06 ,16.86,4,4,53.83 ,12.43,3,8,338,38.4,6.61
P50336,Protoporphyrinogen oxidase OS=Homo sapiens GN=PPOX PE=1 SV=1 - [PPOX_HUMAN],24.74,1,7,7,17,2.489,1;7,84.4,0.677,1;7,75.3,0.712,1;7,51.3,65.78 ,6.50,1,1,9.27 ,8.60,3,3,22.89 ,22.64,6,7,116.35 ,22.64,6,6,477,50.7,8.16
Q7LBR1,Charged multivesicular body protein 1b OS=Homo sapiens GN=CHMP1B PE=1 SV=1 - [CHM1B_HUMAN],12.06,1,3,3,7,2.485,1;2,6.9,2.192,1;2,89.3,1.968,1;2,48.9,31.17 ,4.02,1,1,5.73 ,4.02,2,2,5.97 ,8.04,2,2,45.55 ,8.04,2,2,199,22.1,8.10
Q9P2K5,Myelin expression factor 2 OS=Homo sapiens GN=MYEF2 PE=1 SV=3 - [MYEF2_HUMAN],41.00,1,20,20,68,2.480,7;20,26.7,2.399,7;20,13.9,2.396,7;20,15.8,152.88 ,11.33,12,12,41.85 ,11.33,12,12,52.31 ,37.17,18,24,208.02 ,33.83,15,20,600,64.1,8.75
P05155,Plasma protease C1 inhibitor OS=Homo sapiens GN=SERPING1 PE=1 SV=2 - [IC1_HUMAN],17.40,1,9,9,18,2.473,-;10,,3.099,-;10,,2.630,-;10,,,,,,,,,,23.62 ,14.60,7,8,77.05 ,17.40,9,10,500,55.1,6.55
Q8IYS1,Peptidase M20 domain-containing protein 2 OS=Homo sapiens GN=PM20D2 PE=1 SV=2 - [P20D2_HUMAN],53.67,1,15,16,69,2.471,4;25,30.8,2.758,4;25,47.8,2.589,4;25,47.7,114.75 ,16.51,8,8,32.49 ,16.51,10,11,87.37 ,53.67,17,27,383.85 ,47.25,14,23,436,47.7,5.85
Q684P5,Rap1 GTPase-activating protein 2 OS=Homo sapiens GN=RAP1GAP2 PE=1 SV=2 - [RPGP2_HUMAN],9.86,1,5,5,11,2.471,-;6,,2.118,-;6,,1.981,-;6,,,,,,,,,,12.60 ,9.86,6,6,67.07 ,8.49,5,5,730,80.0,6.67
Q13421,Mesothelin OS=Homo sapiens GN=MSLN PE=1 SV=2 - [MSLN_HUMAN],19.37,1,10,10,18,2.458,-;10,,2.213,-;10,,2.126,-;10,,,,,,,,,,19.68 ,18.25,9,9,140.46 ,16.35,9,9,630,68.9,6.38
O76024,Wolframin OS=Homo sapiens GN=WFS1 PE=1 SV=2 - [WFS1_HUMAN],31.12,1,23,23,199,2.442,17;64,38.0,2.317,16;64,41.7,2.486,16;63,43.8,592.50 ,19.89,20,29,117.87 ,19.89,22,32,170.73 ,25.96,22,70,1062.60 ,23.82,19,68,890,100.2,8.05
Q9NZN4,EH domain-containing protein 2 OS=Homo sapiens GN=EHD2 PE=1 SV=2 - [EHD2_HUMAN],57.46,1,23,26,133,2.441,8;39,26.6,2.514,8;38,29.9,2.464,8;37,30.1,283.56 ,27.07,17,20,84.41 ,27.07,20,23,132.48 ,57.46,27,44,874.50 ,56.35,25,46,543,61.1,6.46
Q9H2H9,Sodium-coupled neutral amino acid transporter 1 OS=Homo sapiens GN=SLC38A1 PE=1 SV=1 - [S38A1_HUMAN],12.53,1,5,6,21,2.439,1;7,77.3,1.226,-;7,,0.956,1;7,63.3,0.00 ,4.72,1,1,,,,,28.70 ,7.80,6,12,69.98 ,6.16,4,8,487,54.0,7.02
Q9Y2G5,GDP-fucose protein O-fucosyltransferase 2 OS=Homo sapiens GN=POFUT2 PE=1 SV=3 - [OFUT2_HUMAN],39.39,1,17,17,48,2.439,3;21,29.2,2.244,3;21,31.3,2.323,3;21,16.8,93.72 ,6.99,3,3,16.72 ,6.99,5,5,53.07 ,36.83,17,23,119.00 ,34.97,14,17,429,49.9,6.60
Q04446,"1,4-alpha-glucan-branching enzyme OS=Homo sapiens GN=GBE1 PE=1 SV=3 - [GLGB_HUMAN]",37.18,1,18,18,96,2.429,5;36,29.1,2.414,5;36,34.7,2.608,7;36,44.6,254.02 ,18.95,11,11,56.68 ,18.95,13,13,122.74 ,37.18,20,36,507.79 ,37.18,20,36,702,80.4,6.32
Q70J99,Protein unc-13 homolog D OS=Homo sapiens GN=UNC13D PE=1 SV=1 - [UN13D_HUMAN],38.62,1,24,24,85,2.419,-;34,,2.223,-;34,,2.279,-;34,,152.52 ,7.16,5,6,26.64 ,7.16,5,6,123.02 ,38.62,26,37,614.87 ,37.52,24,36,1090,123.2,6.65
P78539,Sushi repeat-containing protein SRPX OS=Homo sapiens GN=SRPX PE=2 SV=1 - [SRPX_HUMAN],5.39,1,2,2,4,2.417,-;2,,2.073,-;2,,2.371,-;2,,,,,,,,,,6.31 ,5.39,2,2,76.98 ,5.39,2,2,464,51.5,8.66
Q9Y6X2,E3 SUMO-protein ligase PIAS3 OS=Homo sapiens GN=PIAS3 PE=1 SV=2 - [PIAS3_HUMAN],1.59,1,1,1,1,2.415,-;1,,0.821,-;1,,0.950,-;1,,,,,,,,,,0.00 ,1.59,1,1,,,,,628,68.0,7.69
